GKEY,TRUCK_ENTERED,EDATE,PHOUR,EXITED,PICK_YARD_POS,PICK_ROW_NBR,tv_trans_count,DROP_POS_ID,DROP_POS,DIST,DROP_ROW_NBR,DROP_POS_ID_FLD,DROP_POS_FLD,DIST_FLD,DROP_ROW_NBR_FLD,TT_MIN,TGT_TT,ROW_Feature,RTG,HAD_TROUBLE,TRK_IN_BTW,TRK_OPP,TOT,TRK_IN_ROW,TIER,AVG_30_MIN,RTG_Count
11511120,17-JAN-19 11:19:46,2019-01-17,11,17-JAN-19 13:02:22,321,L,2,149B1.A,149,632,B,149B1.B,149,642,B,67,3,13,RTG9,0,0,6,6,41,4,23.6,2
11511285,17-JAN-19 11:45:28,2019-01-17,12,17-JAN-19 13:42:50,222,L,2,456C2.C,456,226,C,456C2.C,456,236,C,95,3,12,RTG25,0,0,12,12,44,3,21.14285714,4
11511782,17-JAN-19 13:11:21,2019-01-17,13,17-JAN-19 15:18:17,288,J,2,272M8.D,272,476,M,272M8.D,272,486,M,95,3,5,RTG21,0,8,7,15,63,3,48.88888889,2
11512161,17-JAN-19 14:10:27,2019-01-17,14,17-JAN-19 16:10:32,102,L,2,184D1.B,184,378,D,184D1.B,184,388,D,96,3,11,RTG23,0,0,10,10,45,1,48.5,4
11512618,17-JAN-19 15:18:05,2019-01-17,15,17-JAN-19 17:27:02,302,K,2,452B2.D,452,310,B,452B3.D,452,320,B,96,3,14,RTG20,0,6,12,18,60,1,57.7,3
11509630,17-JAN-19 07:10:48,2019-01-17,7,17-JAN-19 09:28:20,83,J,2,453E6.C,453,90,E,453E6.B,453,100,E,97,3,12,RTG8,0,0,6,6,14,4,15.28571429,2
11510675,17-JAN-19 10:10:14,2019-01-17,10,17-JAN-19 12:47:39,130,J,2,260M9.C,260,330,M,260M9.B,260,340,M,97,3,5,RTG7,0,0,14,14,51,1,56.07692308,4
11510767,17-JAN-19 10:24:22,2019-01-17,10,17-JAN-19 12:54:18,280,J,2,230N2.C,230,510,N,230N1.B,230,520,N,97,3,4,RTG24,0,5,3,8,53,2,48.81818182,4
11512505,17-JAN-19 15:00:03,2019-01-17,15,17-JAN-19 17:34:52,376,I,2,426E2.B,426,410,E,426E2.B,426,420,E,98,3,13,RTG16,0,2,10,12,49,1,56.29411765,3
11509614,17-JAN-19 07:08:32,2019-01-17,7,17-JAN-19 09:13:42,252,L,2,430M12.B,430,282,M,434M2.E,434,288,M,100,3,3,RTG25,0,0,5,5,15,1,12.83333333,2
11510381,17-JAN-19 09:25:44,2019-01-17,9,17-JAN-19 13:03:15,146,K,2,372M9.D,372,234,M,372M9.B,372,244,M,101,3,4,RTG12,0,9,2,11,52,4,22,4
11510656,17-JAN-19 10:08:01,2019-01-17,10,17-JAN-19 12:17:51,276,J,2,260M9.A,260,476,M,260M9.A,260,486,M,101,3,5,RTG24,0,6,4,10,48,1,56.07692308,4
11511765,17-JAN-19 13:08:41,2019-01-17,13,17-JAN-19 15:24:26,288,J,2,272M8.B,272,476,M,272M8.C,272,486,M,101,3,5,RTG7,0,0,19,19,60,1,47.3,2
11511854,17-JAN-19 13:22:18,2019-01-17,13,17-JAN-19 15:36:43,252,L,2,426M15.B,426,286,M,426M15.A,426,296,M,101,3,3,RTG23,0,0,5,5,41,4,55.25,2
